"issue"	"issue_status"	"issue_type"
"37"	"ISSUE_OPEN"	"ARRAY"
"38"	"ISSUE_OPEN"	"nameChange"
"39"	"JSON-TAG-ERROR"	"wrongGroup"
"41"	"ISSUE_CLOSED"	"badName"
"42"	"ISSUE_OPEN"	"ARRAY"
"43"	"ISSUE_CLOSED"	"nameChange"
"45"	"ISSUE_OPEN"	"ARRAY"
"46"	"ISSUE_CLOSED"	"nameChange"
"50"	"ISSUE_CLOSED"	"wrongStatus"
"52"	"ISSUE_CLOSED"	"nameChange"
"54"	"ISSUE_CLOSED"	"nameChange"
"55"	"JSON-TAG-ERROR"	"wrongStatus"
"56"	"ISSUE_CLOSED"	"wrongStatus"
"57"	"ISSUE_OPEN"	"missingName"
"59"	"ISSUE_CLOSED"	"nameChange"
"61"	"ISSUE_CLOSED"	"wrongStatus"
"65"	"ISSUE_CLOSED"	"wrongGroup"
"66"	"ISSUE_CLOSED"	"nameChange"
"67"	"ISSUE_CLOSED"	"wrongGroup"
"68"	"ISSUE_CLOSED"	"nameChange"
"69"	"ISSUE_CLOSED"	"nameChange"
"70"	"ISSUE_OPEN"	"ARRAY"
"72"	"ISSUE_CLOSED"	"nameChange"
"71"	"ISSUE_CLOSED"	"nameChange"
"74"	"ISSUE_CLOSED"	"badName"
"73"	"ISSUE_CLOSED"	"nameChange"
"76"	"ISSUE_CLOSED"	"badName"
"78"	"ISSUE_OPEN"	"ARRAY"
"82"	"ISSUE_CLOSED"	"nameChange"
"83"	"ISSUE_CLOSED"	"nameChange"
"87"	"ISSUE_CLOSED"	"wrongGroup"
"90"	"ISSUE_CLOSED"	"wrongGroup"
"93"	"ISSUE_OPEN"	"ARRAY"
"95"	"ISSUE_CLOSED"	"wrongGroup"
"97"	"ISSUE_CLOSED"	"wrongStatus"
"100"	"ISSUE_CLOSED"	"nameChange"
"101"	"ISSUE_CLOSED"	"wrongStatus"
"104"	"ISSUE_CLOSED"	"nameChange"
"105"	"ISSUE_OPEN"	"nameChange"
"106"	"ISSUE_CLOSED"	"nameChange"
"112"	"ISSUE_OPEN"	"wrongGroup"
"113"	"ISSUE_CLOSED"	"ARRAY"
"115"	"ISSUE_CLOSED"	"nameChange"
"116"	"ISSUE_CLOSED"	"ARRAY"
"118"	"ISSUE_OPEN"	"missingName"
"120"	"ISSUE_OPEN"	"nameChange"
"124"	"JSON-TAG-ERROR"	"ARRAY"
"125"	"ISSUE_CLOSED"	"wrongStatus"
"126"	"ISSUE_OPEN"	"ARRAY"
"127"	"ISSUE_CLOSED"	"wrongStatus"
"129"	"ISSUE_CLOSED"	"nameChange"
"130"	"ISSUE_CLOSED"	"nameChange"
"132"	"ISSUE_CLOSED"	"nameChange"
"133"	"ISSUE_CLOSED"	"wrongStatus"
"135"	"ISSUE_CLOSED"	"badName"
"142"	"ISSUE_CLOSED"	"ARRAY"
"143"	"ISSUE_CLOSED"	"ARRAY"
"166"	"ISSUE_OPEN"	"nameChange"
"145"	"ISSUE_OPEN"	"wrongGroup"
"148"	"ISSUE_OPEN"	"nameChange"
"149"	"JSON-TAG-ERROR"	"nameChange"
"153"	"ISSUE_OPEN"	"missingName"
"154"	"ISSUE_CLOSED"	"wrongStatus"
"156"	"JSON-TAG-ERROR"	"wrongStatus"
"158"	"ISSUE_OPEN"	"ARRAY"
"160"	"ISSUE_OPEN"	"wrongStatus"
"164"	"JSON-TAG-ERROR"	"wrongStatus"
"165"	"ISSUE_CLOSED"	"wrongStatus"
"169"	"ISSUE_OPEN"	"ARRAY"
"172"	"ISSUE_CLOSED"	"wrongGroup"
"173"	"JSON-TAG-ERROR"	"wrongGroup"
"175"	"ISSUE_CLOSED"	"wrongStatus"
"179"	"ISSUE_CLOSED"	"nameChange"
"180"	"ISSUE_OPEN"	"nameChange"
"183"	"ISSUE_OPEN"	"ARRAY"
"190"	"ISSUE_CLOSED"	"badName"
"186"	"ISSUE_CLOSED"	"wrongGroup"
"193"	"ISSUE_OPEN"	"ARRAY"
"194"	"ISSUE_CLOSED"	"nameChange"
"195"	"ISSUE_OPEN"	"nameChange"
"196"	"ISSUE_CLOSED"	"nameChange"
"197"	"ISSUE_OPEN"	"ARRAY"
"198"	"JSON-TAG-ERROR"	"wrongStatus"
"199"	"ISSUE_CLOSED"	"badName"
"200"	"ISSUE_CLOSED"	"badName"
"201"	"ISSUE_CLOSED"	"badName"
"202"	"ISSUE_OPEN"	"nameChange"
"211"	"ISSUE_CLOSED"	"wrongStatus"
"214"	"ISSUE_CLOSED"	"wrongStatus"
"215"	"JSON-TAG-ERROR"	"wrongStatus"
"216"	"JSON-TAG-ERROR"	"wrongStatus"
"217"	"JSON-TAG-ERROR"	"wrongStatus"
"218"	"JSON-TAG-ERROR"	"wrongStatus"
"219"	"JSON-TAG-ERROR"	"wrongStatus"
"220"	"JSON-TAG-ERROR"	"wrongStatus"
"224"	"ISSUE_CLOSED"	"wrongGroup"
"228"	"ISSUE_CLOSED"	"wrongGroup"
"230"	"ISSUE_CLOSED"	"wrongGroup"
"487"	"ISSUE_CLOSED"	"wrongStatus"
"241"	"ISSUE_CLOSED"	"wrongStatus"
"209"	"ISSUE_CLOSED"	"wrongStatus"
"242"	"ISSUE_CLOSED"	"badName"
"245"	"ISSUE_CLOSED"	"wrongStatus"
"247"	"ISSUE_OPEN"	"wrongStatus"
"249"	"ISSUE_CLOSED"	"ARRAY"
"250"	"JSON-TAG-ERROR"	"nameChange"
"252"	"JSON-TAG-ERROR"	"nameChange"
"235"	"ISSUE_CLOSED"	"wrongGroup"
"253"	"ISSUE_CLOSED"	"nameChange"
"254"	"ISSUE_CLOSED"	"wrongGroup"
"255"	"ISSUE_CLOSED"	"wrongGroup"
"260"	"ISSUE_CLOSED"	"nameChange"
"265"	"ISSUE_CLOSED"	"wrongStatus"
"267"	"ISSUE_OPEN"	"wrongStatus"
"270"	"ISSUE_CLOSED"	"wrongStatus"
"273"	"ISSUE_OPEN"	"wrongGroup"
"281"	"ISSUE_CLOSED"	"wrongStatus"
"284"	"ISSUE_OPEN"	"ARRAY"
"285"	"ISSUE_CLOSED"	"wrongGroup"
"296"	"ISSUE_CLOSED"	"wrongGroup"
"297"	"ISSUE_CLOSED"	"wrongGroup"
"298"	"ISSUE_CLOSED"	"missingName"
"289"	"ISSUE_CLOSED"	"nameChange"
